age,income,education_level,purchased
25,30000,1,0
32,45000,2,1
19,25000,1,0
45,85000,3,1
38,60000,2,1
28,35000,1,0
52,95000,3,1
23,28000,1,0
48,75000,3,1
31,50000,2,1
26,32000,1,0
55,100000,3,1
29,42000,2,1
21,23000,0,0
47,80000,3,1
33,48000,2,1
24,30000,1,0
50,90000,3,1
27,38000,1,0
44,70000,2,1
35,55000,2,1
22,26000,1,0
51,92000,3,1
30,45000,2,1
20,22000,0,0
49,88000,3,1
34,52000,2,1
25,31000,1,0
56,105000,3,1
28,40000,2,1
23,27000,1,0
46,78000,3,1
39,65000,2,1
21,24000,0,0
53,98000,3,1
36,58000,2,1
26,33000,1,0
54,102000,3,1
40,68000,2,1
22,25000,1,0
